Cruise,Group,ID,D,ForkLength
1704,August Age0,LB20A,747.17,184
1704,August Age0,LB20B,605.7359157,173
1704,August Age0,LB20C,657.1491632,158
1704,August Age0,LB20D,577.7015716,133
1704,August Age0,LB20E,635.1914644,168
1704,August Age0,LB20F,616.7058807,153
1704,August Age0,LB20G,630.2618582,164
1704,August Age0,LB20H,638.5419084,163
1704,August Age0,LB20I,628.0486006,158
1704,August Age0,LB20J,596.8744827,150
1704,August Age0,LB22A,684.1401395,164
1704,August Age0,LB22B,631.7914986,158
1704,August Age0,LB22C,664.7965824,163
1704,August Age0,LB22D,620.1249866,146
1704,August Age0,LB22E,670.1433527,169
1704,August Age0,LB22F,572.4738421,142
1704,August Age0,LB22G,569.621266,150
1704,August Age0,LB22I,616.1342741,154
1702,July Age0,508,314.3641178,57
1702,July Age0,513,393.1333391,67
1702,July Age0,515,345.9362941,62
1702,July Age0,1017,398.0760715,70
1702,July Age0,1019,384.9422379,68
1702,July Age0,1020,374.7938628,66
1702,July Age0,1021,427.0369177,82
1702,July Age0,1022,383.6384026,74
1702,July Age0,1023,401.510622,77
1702,July Age0,1024,375.6559592,76
1702,July Age0,1025,349.5210399,65
1702,July Age0,1026,379.2759564,66
1702,July Age0,1152,377.3848024,72
1702,July Age0,1190,377.6599227,65
1702,July Age0,1193,332.2391122,54
1702,July Age0,1194,305.686894,53
1702,July Age0,1195,345.6494149,60
1702,July Age0,1199,413.8752402,82
1702,July Age0,1200,429.05554,79
1702,July Age0,1209,381.6837505,67
1702,July Age0,1210,385.9685395,69
1702,July Age0,1218,365.0449941,65
1702,July Age0,1285,443.7000462,98
1702,July Age0,1481,335.5579276,69
1702,July Age0,1485,333.6822659,64
SJBB,October Age0,389346_10XPlan.tif,846.8638138,275
SJBB,October Age0,389347_10XPlan.tif,823.6065433,233
SJBB,October Age0,389348_10XPlan.tif,806.8073731,234
SJBB,October Age0,389382_10XPlan.tif,860.4058845,255
SJBB,October Age0,389415_10XPlan.tif,756.5948813,250
SJBB,October Age0,389432_10XPlan.tif,815.8901183,229
